queue_id,canonical_identity_key,citation,doi,species,screen_wave,screen_basis,fragmentation_exposure_frame,independent_unit_frame,IF_common_frame_status,screen_decision,decision_reason,next_action,outcome_opened,outcome_blind_confirmation
IFQ001,SF06:SF06P001,Abrahamczyk et al. 2021,10.1007/s11258-021-01129-1,Centaurea scabiosa,1,title_abstract_methods_only,"14 extant populations spanning population size and isolation; article models population size rather than a source-defined fragmented-versus-reference treatment","population","I and F are measured across the same populations but against population size, not an admissible direct fragmentation contrast",closed_no_source_defined_fragmentation_contrast,"The paper jointly measures flower visitation and achene production across 14 populations, but the focal predictor is population size; fragmentation is ecological context rather than the direct treatment/contrast used for the I-F responses.","retain as population-size/context evidence; do not recode population size as fragmentation after source inspection",no,yes
IFQ002,SF06:SF06P004,Aguilar 2005 PhD thesis,,multiple Chaco plant species,1,title_abstract_methods_only,"thesis-level compilation with multiple species/chapters under habitat-fragmentation research","programme/chapter/species unit unresolved","SF06 marks I and F within the thesis, but a single common independent-unit frame cannot be assumed across 12 species and chapters",advance_programme_decomposition_screen,"The thesis contributes many species and response rows and may overlap later primary publications. Treating the entire thesis as one programme or all rows as independent programmes would risk dependence and duplicate counting.","decompose by chapter/species/source study; crosswalk against Aizen-Feinsinger and later Aguilar primary papers before any quantitative extraction",no,yes
IFQ003,SF06:SF06P010,Angoh et al. 2021,10.1016/j.sajb.2021.05.012,Erica discolor,1,title_abstract_methods_only,"source-defined habitat-fragmentation gradient across patches of different size and isolation; small <100 ha and large >240 ha classes are source-explicit","forest patch","pollinator visitation and seed set are measured on the same patch system",advance_full_text_quantitative_screen,"The article directly studies fragmentation using patch size/isolation and measures both pollinator visitation and seed set on that landscape. Exact independent patch counts and extractable patch-level or group-level dispersion still require full-text recovery.","recover patch identities/counts and confirm a common I-F comparison with fragmentation-level uncertainty before effect calculation",no,yes
IFQ004,SF06:SF06P012,Barreto et al. 2018,10.1093/botlinnean/boy017,Justicia aequilabris,1,title_abstract_methods_only,"edge versus interior within a dry-forest fragment","edge/interior sampling units nested within one forest fragment","I and F share edge/interior sampling but not replicated fragmentation landscapes",closed_single_fragment_edge_interior_pseudoreplication,"The study compares edge and interior reproductive biology inside one dry-forest fragment. Flowers/plants at edge versus interior cannot be promoted to independent fragmentation-level replicates.","retain as edge-mechanism evidence; do not admit as a direct cross-programme fragmentation I-F cluster",no,yes
IFQ005,SF06:SF06P038,Cascante et al. 2002,10.1046/j.1523-1739.2002.00317.x,Samanea saman,1,title_abstract_methods_only,"isolated individual trees >500 m from conspecifics versus trees inside continuous forest","17 isolated trees distributed across disturbed landscape versus reference trees nested in one continuous population/reserve","pollination and reproductive-success endpoints share tree condition, but the reference landscape is not independently replicated",closed_reference_landscape_nonindependence,"The source contrasts isolated trees with trees from one continuous population. Individual trees do not create multiple independent reference landscapes, so a direct fragmentation-level I-F Hedges-g programme would be pseudoreplicated.","retain as mechanistic/isolation evidence; no direct pair admission unless genuinely independent reference landscapes become available",no,yes
IFQ006,SF06:SF06P040,Chen & Zuo 2019,10.3389/fpls.2019.00327,Haloxylon ammodendron,1,title_abstract_methods_only,"experimental natural versus fragmented habitat layout with six plots per condition; fragmented plots separated by frequently mown vegetation","plot is candidate independent unit; six fragmented and six natural plots are source-explicit","pollinator visitation and seed-set/pollination-success measurements use the same 12-plot habitat design",advance_full_text_quantitative_screen,"The methods explicitly define six fragmented and six natural plots and measure both visitation and reproductive success under the same habitat contrast. Quantitative admission still requires confirming that reported dispersion is plot-level and that plot dependence/matching is handled consistently.","recover plot-level values or defensible group summaries for one locked I endpoint and one locked F endpoint; reconstruct paired/matched dependence if applicable",no,yes
IFQ007,SF06:SF06P041,Chen et al. 2019,10.1016/j.scitotenv.2018.11.148,Caragana korshinskii,1,title_abstract_methods_only,"experimental natural versus fragmented habitat layout with six 20x20 m plots per condition; habitats separated by 500 m","plot is candidate independent unit; six natural and six fragmented plots are source-explicit","pollinator activity and seed-set/pollen-limitation measurements use the same 12-plot habitat design",advance_full_text_quantitative_screen,"The source explicitly replicates six plots in each habitat and measures pollinator activity plus reproductive success on the same exposure frame. Quantitative admission requires locking the I and F endpoints and verifying that between-plot dispersion rather than nested flower counts supports standardisation.","recover plot/group summaries and lock primary visitation and natural seed-set endpoints before calculating any effect",no,yes
IFQ008,SF06:SF06P042,Chiapero et al. 2021,10.1016/j.foreco.2021.119215,Lithraea molleoides,1,title_abstract_methods_only,"continuous versus fragmented Chaco Serrano forest populations are the source-defined landscape contrast","forest population/site; exact numbers per condition still require full-text recovery","pollination/reproductive ecology and seed/progeny performance are assessed simultaneously under the same fragmentation study",advance_full_text_quantitative_screen,"The paper is explicitly designed to assess habitat-fragmentation effects on reproductive ecology and progeny performance across continuous and fragmented forests. The accessible abstract does not establish the exact number of independent populations/sites or which I and F summaries share identical units.","recover full methods/tables, site counts, and a common pollination-versus-reproductive-function frame before effect calculation",no,yes
IFQ009,SF06:SF06P046,Coombs et al. 2009,10.1111/j.1442-9993.2009.01976.x,Gomphocarpus physocarpus,2,title_abstract_methods_only,"multiple populations spanning population size; Allee-effect design rather than a source-defined fragmented/reference treatment","population","I and F are measured across populations but the primary predictor is population size",closed_no_source_defined_fragmentation_contrast,"The study tests pollination success and fruit set against population size in founding populations. It does not define the direct fragmented-versus-reference exposure required for the primary I-F Hedges-g family.","retain as population-size/Allee context; do not dichotomize population size post hoc",no,yes
IFQ010,SF06:SF06P055,da Silva Elias et al. 2012,10.1017/S0266467412000120,Cardiopetalum calophyllum,2,title_abstract_methods_only,"multiple cerrado fragments spanning fragment size and isolation; all sampled sites are fragments","forest fragment","pollinator abundance and reproductive outputs share fragment-level observations but there is no unfragmented reference; primary analyses use continuous fragment size/isolation",closed_gradient_only_no_reference,"The source evaluates reproductive success across fragments and models fragment size/isolation continuously. No source-defined reference habitat is available for the direct fragmented-minus-reference I-F family.","retain in the separate fragmentation-gradient/generalisation lane",no,yes
